nom um;effectif um;cdi percent;cdd percent;alt percent
OF CSE IDF;451.0;93.56984478935698;0.22172949002217296;6.208425720620843
OF AE NORMANDIE CENTRE;311.0;91.63987138263666;1.929260450160772;6.430868167202572
OF AE NORD;402.0;94.5273631840796;0.0;5.472636815920398
OF AE SUD EST;423.0;92.19858156028369;2.127659574468085;5.673758865248227
OF ProPME NE;405.0;90.61728395061729;0.0;9.382716049382717
OF AE CARAIBES;112.0;89.28571428571429;4.464285714285714;6.25
OF ProPME SO;424.0;93.86792452830188;0.2358490566037736;5.89622641509434
OF ProPME IDF;383.0;93.47258485639686;0.26109660574412535;6.266318537859007
OF AE GRAND EST;518.0;90.15444015444015;1.3513513513513513;8.494208494208493
OF ProPME O;375.0;92.0;0.8;7.199999999999999
OF AE PARIS;425.0;92.23529411764706;2.1176470588235294;5.647058823529412
OF AE SOM;427.0;94.61358313817331;0.468384074941452;4.918032786885246
OF AE OUEST;511.0;93.34637964774952;0.7827788649706457;5.870841487279844
OF CSE SUD;342.0;94.15204678362574;0.5847953216374269;5.263157894736842
OF AE IDF SUD ET EST;241.0;95.4356846473029;0.0;4.564315352697095
OF PRO PME DVI EM;396.0;97.22222222222221;0.5050505050505051;2.272727272727273
OF AE CENTRE EST;332.0;92.46987951807229;0.9036144578313252;6.626506024096386
OF DEF EM;418.0;94.49760765550239;0.9569377990430622;4.545454545454546
OF AE REUNION;110.0;91.81818181818183;0.9090909090909091;7.2727272727272725
OF PARNASSE;158.0;87.9746835443038;5.69620253164557;6.329113924050633
OF ProPME SE;451.0;96.0088691796009;0.0;3.9911308203991127
OF AE SUD OUEST;283.0;92.93286219081273;0.0;7.06713780918728
OF AE IDF LA DEFENSE OUEST FRANC;395.0;94.68354430379748;0.25316455696202533;5.063291139240507
OBS SMS;175.0;93.71428571428572;1.7142857142857144;4.571428571428571
OF UI AFFAIRES;19.0;100.0;0.0;0.0
