DO;Marché;Entité;Total Rec Ext 2019;dt Rec Ext Vente;dt Re Ext Service
CARAIBES;E;AE CARAIBES;2;2;0
REUNION;E;AE REUNION;2;2;0
GSE;E;AE R2A;4;3;1
GSO;E;AE OCCITANIE;6;5;1
IDF;E;AE DOF;4;3;1
GSE;E;AE RM;3;2;1
GSO;E;CSE SUD;3;0;3
IDF;E;CSE IDF;3;0;3
GNE;E;AE NDF;6;5;1
GNE;E;AE GE;7;5;2
GO;E;AE OA;4;3;1
GO;E;AE NC;6;5;1
GSO;E;AE SO;4;3;1
IDF;E;AE ISE;4;4;0
IDF;E;AE PARIS;2;2;0
GO;PROPMEDVI;ProPme O;2;;
IDF;PROPMEDVI;ProPme DVI EM;2;;
IDF;PROPMEDVI;Digital;2;;
IDF;OBS;OBS SMS;2;;
